acq_week,week,tenure,acq_quarter,merchant_index,merchant,parent_merchant,category,subcategory,N_week_cohort,active_users,orders,rpt_orders,spend,rpt_spend
2017-03-12,2019-12-15,144,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,34,68,68,565.681000000001,565.681000000001
2017-03-12,2019-12-22,145,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,47,105,105,802.451000000001,802.451000000001
2017-03-12,2019-12-29,146,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,49,103,103,827.791000000001,827.791000000001
2017-03-12,2020-01-05,147,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,43,86,86,687.241000000001,687.241000000001
2017-03-12,2020-01-12,148,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,46,83,83,599.29,599.29
2017-03-12,2020-01-19,149,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,34,61,61,355.51,355.51
2017-03-12,2020-01-26,150,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,36,63,63,354.45,354.45
2017-03-12,2020-02-02,151,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,37,72,72,347.21,347.21
2017-03-12,2020-02-09,152,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,38,80,80,523.35,523.35
2017-03-12,2020-02-16,153,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,42,73,73,551.22,551.22
2017-03-12,2020-02-23,154,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,36,83,83,411.99,411.99
2017-03-12,2020-03-01,155,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,32,78,78,530.181000000001,530.181000000001
2017-03-12,2020-03-08,156,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,42,70,70,493.881000000001,493.881000000001
2017-03-12,2020-03-15,157,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,39,82,82,551.281000000001,551.281000000001
2017-03-12,2020-03-22,158,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,38,98,98,906.563000000003,906.563000000003
2017-03-12,2020-03-29,159,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,47,96,96,435.31,435.31
2017-03-12,2020-04-05,160,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,46,109,109,558.34,558.34
2017-03-12,2020-04-12,161,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,44,95,95,605.751000000001,605.751000000001
2017-03-12,2020-04-19,162,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,50,134,134,989.801000000001,989.801000000001
2017-03-12,2020-04-26,163,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,38,80,80,625.331000000001,625.331000000001
2017-03-12,2020-05-03,164,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,43,82,82,539.921000000001,539.921000000001
2017-03-12,2020-05-10,165,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,41,94,94,456.25,456.25
2017-03-12,2020-05-17,166,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,43,84,84,467.79,467.79
2017-03-12,2020-05-24,167,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,50,96,96,614.451000000001,614.451000000001
2017-03-12,2020-05-31,168,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,40,97,97,546.291000000001,546.291000000001
2017-03-12,2020-06-07,169,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,39,75,75,422.07,422.07
2017-03-12,2020-06-14,170,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,37,75,75,382.79,382.79
2017-03-12,2020-06-21,171,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,44,81,81,427.76,427.76
2017-03-12,2020-06-28,172,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,40,73,73,485.061000000001,485.061000000001
2017-03-12,2020-07-05,173,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,41,91,91,406.17,406.17
2017-03-12,2020-07-12,174,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,45,96,96,610.081000000001,610.081000000001
2017-03-12,2020-07-19,175,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,44,75,75,501.331000000001,501.331000000001
2017-03-12,2020-07-26,176,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,37,80,80,488.641000000001,488.641000000001
2017-03-12,2020-08-02,177,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,38,76,76,357.93,357.93
2017-03-12,2020-08-09,178,2017-01-01,1000,jam_city_inc,jam_city_inc,Home Entertainment,Gaming,534,36,78,78,647.101000000001,647.101000000001
