time,merchant_name,cohort_size
2018-01-07,258_moes_southwest_grill_moes_southwest_grill,2085
2018-01-14,258_moes_southwest_grill_moes_southwest_grill,2029
2018-01-21,258_moes_southwest_grill_moes_southwest_grill,2152
2018-01-28,258_moes_southwest_grill_moes_southwest_grill,2207
2018-02-04,258_moes_southwest_grill_moes_southwest_grill,2119
2018-02-11,258_moes_southwest_grill_moes_southwest_grill,2201
2018-02-18,258_moes_southwest_grill_moes_southwest_grill,2527
2018-02-25,258_moes_southwest_grill_moes_southwest_grill,2490
2018-03-04,258_moes_southwest_grill_moes_southwest_grill,2439
2018-03-11,258_moes_southwest_grill_moes_southwest_grill,2307
2018-03-18,258_moes_southwest_grill_moes_southwest_grill,2552
2018-03-25,258_moes_southwest_grill_moes_southwest_grill,2492
2018-04-01,258_moes_southwest_grill_moes_southwest_grill,2454
2018-04-08,258_moes_southwest_grill_moes_southwest_grill,2448
2018-04-15,258_moes_southwest_grill_moes_southwest_grill,2392
2018-04-22,258_moes_southwest_grill_moes_southwest_grill,2400
2018-04-29,258_moes_southwest_grill_moes_southwest_grill,2455
2018-05-06,258_moes_southwest_grill_moes_southwest_grill,2484
2018-05-13,258_moes_southwest_grill_moes_southwest_grill,2266
2018-05-20,258_moes_southwest_grill_moes_southwest_grill,2270
2018-05-27,258_moes_southwest_grill_moes_southwest_grill,2153
2018-06-03,258_moes_southwest_grill_moes_southwest_grill,2336
2018-06-10,258_moes_southwest_grill_moes_southwest_grill,2369
2018-06-17,258_moes_southwest_grill_moes_southwest_grill,2138
2018-06-24,258_moes_southwest_grill_moes_southwest_grill,2273
2018-07-01,258_moes_southwest_grill_moes_southwest_grill,1997
2018-07-08,258_moes_southwest_grill_moes_southwest_grill,2259
2018-07-15,258_moes_southwest_grill_moes_southwest_grill,2321
2018-07-22,258_moes_southwest_grill_moes_southwest_grill,2103
2018-07-29,258_moes_southwest_grill_moes_southwest_grill,2024
2018-08-05,258_moes_southwest_grill_moes_southwest_grill,2239
2018-08-12,258_moes_southwest_grill_moes_southwest_grill,2187
2018-08-19,258_moes_southwest_grill_moes_southwest_grill,2315
2018-08-26,258_moes_southwest_grill_moes_southwest_grill,2160
2018-09-02,258_moes_southwest_grill_moes_southwest_grill,2065
2018-09-09,258_moes_southwest_grill_moes_southwest_grill,1992
2018-09-16,258_moes_southwest_grill_moes_southwest_grill,2299
2018-09-23,258_moes_southwest_grill_moes_southwest_grill,2043
2018-09-30,258_moes_southwest_grill_moes_southwest_grill,2149
2018-10-07,258_moes_southwest_grill_moes_southwest_grill,2069
2018-10-14,258_moes_southwest_grill_moes_southwest_grill,1990
2018-10-21,258_moes_southwest_grill_moes_southwest_grill,2027
